Document Distribution By Date
Distribution: Yearly
1269 documents  From All Dates

Date,Document Count
Start Date: 1 January 2020 End Date: 31 December 2020,413
Start Date: 1 January 2021 End Date: 31 December 2021,291
Start Date: 1 January 2022 End Date: 31 December 2022,211
Start Date: 1 January 2023 End Date: 31 December 2023,200
Start Date: 1 January 2024 End Date: 31 December 2024,154


Search Summary,
Text,(rst=nytf OR rst=wsjo OR rst=sfnpr) AND (manage* near5 health OR health near5 app OR health near5 provider)
Date,01/01/2020 to 12/01/2024
Source,All Publications Or All Web News
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"1,269"
Timestamp,4 December 2024 10:01
"© 2024 Factiva, Inc.  All rights reserved."
