Document Distribution By Date
Distribution: Yearly
1486 documents  From All Dates

Date,Document Count
Start Date: 1 January 2015 End Date: 31 December 2015,474
Start Date: 1 January 2016 End Date: 31 December 2016,346
Start Date: 1 January 2017 End Date: 31 December 2017,252
Start Date: 1 January 2018 End Date: 31 December 2018,204
Start Date: 1 January 2019 End Date: 31 December 2019,210


Search Summary,
Text,(rst=sfnpr OR rst=wsjo OR rst=sfnyt) AND (broadband internet OR internet access OR digital equity)
Date,01/01/2015 to 12/31/2019
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,All Languages
Results Found,"1,486"
Timestamp,4 December 2024 10:38
"© 2024 Factiva, Inc.  All rights reserved."
