"location","hits","keyword","geo","gprop"
"Minnesota",100,"mychart","US","web"
"Wisconsin",85,"mychart","US","web"
"Ohio",71,"mychart","US","web"
"Washington",62,"mychart","US","web"
"Oregon",55,"mychart","US","web"
"Kentucky",53,"mychart","US","web"
"Indiana",51,"mychart","US","web"
"North Carolina",47,"mychart","US","web"
"Iowa",42,"mychart","US","web"
"South Carolina",41,"mychart","US","web"
"Illinois",41,"mychart","US","web"
"Virginia",37,"mychart","US","web"
"Michigan",33,"mychart","US","web"
"Maryland",31,"mychart","US","web"
"New Mexico",28,"mychart","US","web"
"Maine",28,"mychart","US","web"
"Idaho",26,"mychart","US","web"
"Arkansas",25,"mychart","US","web"
"Utah",25,"mychart","US","web"
"West Virginia",25,"mychart","US","web"
"Montana",23,"mychart","US","web"
"South Dakota",22,"mychart","US","web"
"Oklahoma",22,"mychart","US","web"
"Connecticut",22,"mychart","US","web"
"Texas",21,"mychart","US","web"
"Missouri",21,"mychart","US","web"
"Kansas",20,"mychart","US","web"
"Mississippi",20,"mychart","US","web"
"North Dakota",20,"mychart","US","web"
"Massachusetts",18,"mychart","US","web"
"Louisiana",18,"mychart","US","web"
"New York",16,"mychart","US","web"
"Georgia",16,"mychart","US","web"
"Nebraska",16,"mychart","US","web"
"Nevada",14,"mychart","US","web"
"Wyoming",14,"mychart","US","web"
"California",12,"mychart","US","web"
"Pennsylvania",11,"mychart","US","web"
"Hawaii",10,"mychart","US","web"
"District of Columbia",10,"mychart","US","web"
"Delaware",8,"mychart","US","web"
"Florida",8,"mychart","US","web"
"Rhode Island",8,"mychart","US","web"
"Arizona",8,"mychart","US","web"
"Tennessee",7,"mychart","US","web"
"Colorado",7,"mychart","US","web"
"Alaska",7,"mychart","US","web"
"New Jersey",4,"mychart","US","web"
"New Hampshire",3,"mychart","US","web"
"Vermont",2,"mychart","US","web"
"Alabama",2,"mychart","US","web"
"North Carolina",100,"health app","US","web"
"Massachusetts",83,"health app","US","web"
"New York",81,"health app","US","web"
"District of Columbia",76,"health app","US","web"
"Colorado",72,"health app","US","web"
"Vermont",71,"health app","US","web"
"Washington",71,"health app","US","web"
"Hawaii",71,"health app","US","web"
"Alaska",70,"health app","US","web"
"New Hampshire",69,"health app","US","web"
"California",68,"health app","US","web"
"Pennsylvania",68,"health app","US","web"
"Rhode Island",65,"health app","US","web"
"Illinois",65,"health app","US","web"
"Maryland",65,"health app","US","web"
"Virginia",65,"health app","US","web"
"Michigan",65,"health app","US","web"
"Utah",64,"health app","US","web"
"Arizona",64,"health app","US","web"
"Indiana",64,"health app","US","web"
"North Dakota",63,"health app","US","web"
"Florida",63,"health app","US","web"
"Oregon",62,"health app","US","web"
"Delaware",62,"health app","US","web"
"Minnesota",61,"health app","US","web"
"Ohio",60,"health app","US","web"
"Wisconsin",60,"health app","US","web"
"South Dakota",60,"health app","US","web"
"Missouri",59,"health app","US","web"
"Tennessee",59,"health app","US","web"
"Kentucky",59,"health app","US","web"
"New Jersey",58,"health app","US","web"
"Idaho",58,"health app","US","web"
"Nebraska",58,"health app","US","web"
"Maine",58,"health app","US","web"
"Montana",58,"health app","US","web"
"Connecticut",57,"health app","US","web"
"New Mexico",55,"health app","US","web"
"Georgia",55,"health app","US","web"
"Texas",54,"health app","US","web"
"South Carolina",54,"health app","US","web"
"Iowa",53,"health app","US","web"
"Oklahoma",53,"health app","US","web"
"Arkansas",53,"health app","US","web"
"Kansas",51,"health app","US","web"
"Wyoming",51,"health app","US","web"
"Mississippi",51,"health app","US","web"
"Nevada",50,"health app","US","web"
"Louisiana",50,"health app","US","web"
"West Virginia",49,"health app","US","web"
"Alabama",49,"health app","US","web"
